Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
1,297,98,2,2.5,3,7.67,0,0.59
1,317,106,2,2,3.5,8.12,0,0.73
1,327,109,3,3.5,4,8.77,1,0.79
1,301,104,2,3.5,3.5,7.89,1,0.68
1,314,105,2,2.5,2,7.64,0,0.7
1,321,107,2,2,1.5,8.44,0,0.81
1,322,110,3,4,5,8.64,1,0.85
1,334,116,4,4,3.5,9.54,1,0.93
1,338,115,5,4.5,5,9.23,1,0.91
1,306,103,2,2.5,3,8.36,0,0.69
1,313,102,3,3.5,4,8.9,1,0.77
1,330,114,4,4.5,3,9.17,1,0.86
1,320,104,3,3.5,4.5,8.34,1,0.74
1,311,98,1,1,2.5,7.46,0,0.57
1,298,92,1,2,2,7.88,0,0.51
1,301,98,1,2,3,8.03,1,0.67
1,310,103,2,2.5,2.5,8.24,0,0.72
1,324,110,3,3.5,3,9.22,1,0.89
1,336,119,4,4.5,4,9.62,1,0.95
1,321,109,3,3,3,8.54,1,0.79
1,315,105,2,2,2.5,7.65,0,0.39
1,304,101,2,2,2.5,7.66,0,0.38
1,297,96,2,2.5,2,7.43,0,0.34
1,290,100,1,1.5,2,7.56,0,0.47
1,303,98,1,2,2.5,7.65,0,0.56
1,311,99,1,2.5,3,8.43,1,0.71
1,322,104,3,3.5,4,8.84,1,0.78
1,319,105,3,3,3.5,8.67,1,0.73
1,324,110,4,4.5,4,9.15,1,0.82
1,300,100,3,3,3.5,8.26,0,0.62
1,340,113,4,5,5,9.74,1,0.96
1,335,117,5,5,5,9.82,1,0.96
1,302,101,2,2.5,3.5,7.96,0,0.46
1,307,105,2,2,3.5,8.1,0,0.53
1,296,97,2,1.5,2,7.8,0,0.49
1,320,108,3,3.5,4,8.44,1,0.76
1,314,102,2,2,2.5,8.24,0,0.64
1,318,106,3,2,3,8.65,0,0.71
1,326,112,4,4,3.5,9.12,1,0.84
1,317,104,2,3,3,8.76,0,0.77
1,329,111,4,4.5,4,9.23,1,0.89
1,324,110,3,3.5,3.5,9.04,1,0.82

