Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
1,326,111,5,4.5,4,9.23,1,0.88
1,325,112,4,4,4.5,9.17,1,0.85
1,329,114,5,4.5,5,9.19,1,0.86
1,310,104,3,2,3.5,8.37,0,0.7
1,299,100,1,1.5,2,7.89,0,0.59
1,296,101,1,2.5,3,7.68,0,0.6
1,317,103,2,2.5,2,8.15,0,0.65
1,324,115,3,3.5,3,8.76,1,0.7
1,325,114,3,3.5,3,9.04,1,0.76
1,314,107,2,2.5,4,8.56,0,0.63
1,328,110,4,4,2.5,9.02,1,0.81
1,316,105,3,3,3.5,8.73,0,0.72
1,311,104,2,2.5,3.5,8.48,0,0.71
1,324,110,3,3.5,4,8.87,1,0.8
1,321,111,3,3.5,4,8.83,1,0.77
1,320,104,3,3,2.5,8.57,1,0.74
1,316,99,2,2.5,3,9,0,0.7
1,318,100,2,2.5,3.5,8.54,1,0.71
1,335,115,4,4.5,4.5,9.68,1,0.93
1,321,114,4,4,5,9.12,0,0.85
1,307,110,4,4,4.5,8.37,0,0.79
1,309,99,3,4,4,8.56,0,0.76
1,324,100,3,4,5,8.64,1,0.78
1,326,102,4,5,5,8.76,1,0.77
1,331,119,4,5,4.5,9.34,1,0.9
1,327,108,5,5,3.5,9.13,1,0.87
1,312,104,3,3.5,4,8.09,0,0.71
1,308,103,2,2.5,4,8.36,1,0.7
1,324,111,3,2.5,1.5,8.79,1,0.7
1,325,110,2,3,2.5,8.76,1,0.75
1,313,102,3,2.5,2.5,8.68,0,0.71
1,312,105,2,2,2.5,8.45,0,0.72
1,314,107,3,3,3.5,8.17,1,0.73
1,327,113,4,4.5,5,9.14,0,0.83
1,308,108,4,4.5,5,8.34,0,0.77
1,306,105,2,2.5,3,8.22,1,0.72
1,299,96,2,1.5,2,7.86,0,0.54
1,294,95,1,1.5,1.5,7.64,0,0.49
1,312,99,1,1,1.5,8.01,1,0.52
1,315,100,1,2,2.5,7.95,0,0.58
1,322,110,3,3.5,3,8.96,1,0.78
1,329,113,5,5,4.5,9.45,1,0.89
1,320,101,2,2.5,3,8.62,0,0.7
1,308,103,2,3,3.5,8.49,0,0.66
1,304,102,2,3,4,8.73,0,0.67
1,311,102,3,4.5,4,8.64,1,0.68
1,317,110,3,4,4.5,9.11,1,0.8
1,312,106,3,4,3.5,8.79,1,0.81
1,321,111,3,2.5,3,8.9,1,0.8
1,340,112,4,5,4.5,9.66,1,0.94
1,331,116,5,4,4,9.26,1,0.93
1,336,118,5,4.5,4,9.19,1,0.92
1,324,114,5,5,4.5,9.08,1,0.89
1,314,104,4,5,5,9.02,0,0.82
1,313,109,3,4,3.5,9,0,0.79
1,307,105,2,2.5,3,7.65,0,0.58
1,300,102,2,1.5,2,7.87,0,0.56
1,302,99,2,1,2,7.97,0,0.56
1,312,98,1,3.5,3,8.18,1,0.64
1,316,101,2,2.5,2,8.32,1,0.61
1,317,100,2,3,2.5,8.57,0,0.68
1,310,107,3,3.5,3.5,8.67,0,0.76
1,320,120,3,4,4.5,9.11,0,0.86
1,330,114,3,4.5,4.5,9.24,1,0.9
1,305,112,3,3,3.5,8.65,0,0.71
1,327,113,4,4.5,5,9.14,0,0.83
1,308,108,4,4.5,5,8.34,0,0.77
1,306,105,2,2.5,3,8.22,1,0.72
1,299,96,2,1.5,2,7.86,0,0.54
1,294,95,1,1.5,1.5,7.64,0,0.49
1,312,99,1,1,1.5,8.01,1,0.52
1,315,100,1,2,2.5,7.95,0,0.58
1,322,110,3,3.5,3,8.96,1,0.78
1,329,113,5,5,4.5,9.45,1,0.89
1,320,101,2,2.5,3,8.62,0,0.7
1,308,103,2,3,3.5,8.49,0,0.66
1,304,102,2,3,4,8.73,0,0.67
1,311,102,3,4.5,4,8.64,1,0.68
1,317,110,3,4,4.5,9.11,1,0.8
1,312,106,3,4,3.5,8.79,1,0.81
1,321,111,3,2.5,3,8.9,1,0.8
1,340,112,4,5,4.5,9.66,1,0.94
1,331,116,5,4,4,9.26,1,0.93
1,336,118,5,4.5,4,9.19,1,0.92
1,324,114,5,5,4.5,9.08,1,0.89
